pub_end_date,n
2021-02-12,6
2021-04-23,6
2022-10-11,6
2021-03-18,6
2023-11-17,6
2020-08-05,6
2021-04-16,6
2023-08-25,6
2023-06-30,6
2021-12-09,6
2022-05-26,6
2021-04-02,6
2022-07-20,6
2023-07-20,6
2022-06-10,6
2022-06-16,6
2022-05-01,6
2022-04-28,6
2021-05-07,6
2020-10-14,6
2021-05-03,6
2021-04-27,6
2021-02-17,6
2021-01-20,6
2023-07-01,6
2023-05-29,6
2023-08-06,5
2020-12-25,5
2021-09-10,5
2021-09-02,5
2020-11-20,5
2021-05-19,5
2024-01-30,5
2024-01-31,5
2023-07-21,5
2024-02-13,5
2021-04-01,5
2022-09-29,5
2021-04-21,5
2021-04-08,5
2021-03-19,5
2022-07-08,5
2023-03-18,5
2023-02-03,5
2021-06-03,5
2021-06-09,5
2021-04-14,5
2023-01-05,5
2021-05-04,5
2022-11-12,5
2020-10-02,5
2022-04-30,5
2022-11-21,5
2023-05-09,5
2020-10-08,5
2021-08-02,5
2021-07-31,5
2021-12-23,5
2020-12-17,5
2023-04-16,5
2023-10-05,5
2020-08-26,5
2023-04-15,5
2020-11-27,5
2023-08-24,5
2023-11-23,5
2021-11-05,5
2023-11-30,5
2023-10-18,5
2021-08-19,5
2023-10-28,5
2023-10-27,5
2021-12-14,5
2020-10-17,5
2021-10-06,5
2023-07-16,5
2022-06-17,5
2023-06-28,5
2020-04-11,4
2021-09-11,4
2020-11-07,4
2023-12-28,4
2021-06-04,4
2021-09-09,4
2021-10-18,4
2021-09-20,4
2021-09-25,4
2023-08-04,4
2021-08-04,4
2021-06-21,4
2020-12-16,4
2022-03-15,4
2021-05-20,4
2021-05-27,4
2023-01-10,4
2023-12-14,4
2021-04-29,4
2023-06-02,4
2021-07-26,4
2021-07-23,4
2021-01-05,4
2023-05-01,4
2022-06-03,4
2021-07-28,4
2020-10-09,4
2023-04-27,4
2023-04-30,4
2023-10-12,4
2022-10-21,4
2020-10-16,4
2021-12-07,4
2023-06-14,4
2022-10-07,4
2023-09-06,4
2022-08-04,4
2022-08-05,4
2020-09-18,4
2021-02-05,4
2022-08-08,4
2021-10-07,4
2020-04-27,4
2021-03-26,4
2021-03-16,4
2022-07-15,4
2020-09-22,4
2021-08-27,4
2020-05-03,4
2020-04-07,4
2024-03-26,3
2023-07-29,3
2023-08-13,3
2023-08-11,3
2020-09-04,3
2023-07-14,3
2020-09-26,3
2020-11-18,3
2023-01-01,3
2023-10-03,3
2023-09-12,3
2021-05-01,3
2021-04-26,3
2021-09-22,3
2021-10-16,3
2021-09-28,3
2021-08-08,3
2020-05-19,3
2021-08-26,3
2021-08-06,3
2021-05-13,3
2021-06-12,3
2020-06-16,3
2022-02-15,3
2021-07-16,3
2021-07-06,3
2020-05-04,3
2021-07-30,3
2022-01-03,3
2022-01-11,3
2024-01-23,3
2022-02-01,3
2021-06-29,3
2021-06-23,3
2021-11-16,3
2022-05-02,3
2022-08-11,3
2023-11-28,3
2022-05-24,3
2022-07-01,3
2023-11-21,3
2021-04-28,3
2021-04-30,3
2023-10-19,3
2021-02-02,3
2021-05-21,3
2020-08-09,3
2022-08-30,3
2020-07-28,3
2023-10-26,3
2023-07-11,2
2023-08-07,2
2021-11-01,2
2021-08-14,2
2021-11-09,2
2021-09-21,2
2022-03-08,2
2021-09-15,2
2022-03-01,2
2022-06-07,2
2021-10-14,2
2021-10-20,2
2021-04-25,2
2023-12-29,2
2022-02-08,2
2022-01-18,2
2021-05-17,2
2024-01-02,2
2022-05-07,2
2022-08-07,2
2021-03-30,2
2022-06-21,2
2021-04-15,2
2022-12-20,2
2020-12-26,2
2020-11-10,2
2023-04-28,2
2023-06-06,2
2020-12-01,2
2020-12-08,2
